game,year,day,total_jp_size,total_jp_sales
Lotto 649,2014,24,9333333.333333334,700.3185185185185
Lotto 649,2014,25,10088636.363636363,644.2594276094276
Lotto 649,2014,26,9333333.333333334,791.9731481481482
Lotto 649,2014,27,8750000,608.3833333333333
Lotto 649,2014,28,9000000,610.2018518518519
Lotto 649,2014,29,9636363.636363637,767.5434343434343
Lotto 649,2014,30,11181818.181818182,660.9
Lotto 649,2014,31,10571428.57142857,807.3746031746032
Lotto 649,2015,1,14497474.747474747,652.3575757575758
Lotto 649,2015,2,12583333.333333334,694.6333333333333
Lotto 649,2015,3,13333333.333333334,659.1212962962964
Lotto 649,2015,4,14166666.666666666,809.4111111111112
Lotto 649,2015,5,15250000,644.4888888888889
Lotto 649,2015,6,14583333.333333334,681.2842592592592
Lotto 649,2015,7,12924663.2996633,835.3666666666667
Lotto 649,2015,8,12583333.333333334,632.9231481481481
Lotto 649,2015,9,13416666.666666666,707.8509259259259
Lotto 649,2015,10,13916666.666666666,760.6944444444445
Lotto 649,2015,11,15416666.666666666,818.2435185185185
Lotto 649,2015,12,15916666.666666666,608.775
Lotto 649,2015,13,15583333.333333334,662.5546296296296
Lotto 649,2015,14,16000000,971.9092592592592
Lotto 649,2015,15,17345791.245791245,711.6563973063973
Lotto 649,2015,16,18179966.329966333,830.4217171717172
Lotto 649,2015,17,18916666.666666668,1009.7731481481482
Lotto 649,2015,18,10500000,830.9796296296296
Lotto 649,2015,19,12000000,610.3842592592592
Lotto 649,2015,20,13083333.333333334,633.5527777777778
Lotto 649,2015,21,12833333.333333334,817.5
Lotto 649,2015,22,13916666.666666666,716.9824074074074
Lotto 649,2015,23,10166666.666666666,682.8685185185185
Lotto 649,2015,24,11083333.333333334,719.9212962962963
Lotto 649,2015,25,11745707.070707072,822.7136363636364
Lotto 649,2015,26,13083333.333333334,646.7074074074075
Lotto 649,2015,27,13583333.333333334,662.2916666666666
Lotto 649,2015,28,14083333.333333334,874.1472222222222
Lotto 649,2015,29,14636363.636363637,702.5363636363636
Lotto 649,2015,30,15272727.272727273,836.9565656565657
Lotto 649,2015,31,13857142.857142856,805.3253968253969
Lottario,2012,1,467148.14814814815,93.80111111111111
Lottario,2012,2,433492.5925925926,92.81153198653199
Lottario,2012,3,437003.36700336705,104.31784511784511
Lottario,2012,4,444083.3333333334,100.16697530864198
Lottario,2012,5,459487.0370370371,94.78074074074074
Lottario,2012,6,463481.20089786756,99.64250841750842
Lottario,2012,7,464538.72053872055,115.41548821548821
Lottario,2012,8,492186.8686868687,91.05203703703704
Lottario,2012,9,490484.8484848485,98.2773569023569
Lottario,2012,10,494164.98316498316,111.8442760942761
Lottario,2012,11,508067.34006734006,102.8149470899471
Lottario,2012,12,517567.34006734006,91.35259259259259
Lottario,2012,13,513940.0673400673,114.75572390572391
Lottario,2012,14,514328.2828282828,116.79531986531987
Lottario,2012,15,497214.81481481483,94.23962962962963
Lottario,2012,16,498479.797979798,98.29814814814814
Lottario,2012,17,502619.52861952863,110.55081369248036
Lottario,2012,18,519244.6689113356,101.79267676767677
Lottario,2012,19,414332.4915824916,87.37424242424242
Lottario,2012,20,414780.02244668914,106.05813692480359
Lottario,2012,21,415248.93378226715,110.67144219977553
Lottario,2012,22,365709.2592592592,91.49203703703704
Lottario,2012,23,366207.7441077441,94.47271043771043
Lottario,2012,24,375462.962962963,100.69567901234568
Lottario,2012,25,391464.64646464644,90.78291245791246
Lottario,2012,26,391639.4500561167,85.50583613916947
Lottario,2012,27,390975.5892255892,106.12491582491583
Lottario,2012,28,394164.81481481483,115.15333333333334
Lottario,2012,29,408845.1178451178,93.76180134680135
Lottario,2012,30,423296.2962962963,99.21133557800225
Lottario,2012,31,420314.81481481483,107.08148148148148
Lottario,2013,1,446946.63299663295,107.35065656565656
Lottario,2013,2,458543.771043771,111.91245791245791
Lottario,2013,3,467719.69696969696,101.69217171717172
Lottario,2013,4,480765.43209876545,111.10246913580247
Lottario,2013,5,487651.23456790124,118.67345679012345
Lottario,2013,6,499901.5151515152,120.69377104377104
Lottario,2013,7,521809.7643097643,111.15715488215488
Lottario,2013,8,516101.85185185185,112.37685185185185
Lottario,2013,9,529937.3737373737,120.5136531986532
Lottario,2013,10,544428.0303030304,105.52205387205387
Lottario,2013,11,556542.0875420875,114.20782828282829
Lottario,2013,12,565785.8585858586,127.43361952861953
Lottario,2013,13,537356.0606060605,128.27348484848486
Lottario,2013,14,456403.19865319866,104.01049382716049
Lottario,2013,15,459153.5353535353,117.20119528619529
Lottario,2013,16,393478.11447811447,113.57516835016835
Lottario,2013,17,410323.23232323234,96.93232323232323
Lottario,2013,18,426983.164983165,102.35459595959595
Lottario,2013,19,437048.14814814815,113.33055555555555
Lottario,2013,20,433831.64983164985,110.74065656565656
Lottario,2013,21,443723.9057239057,102.15867003367003
Lottario,2013,22,453470.5387205387,112.1189393939394
Lottario,2013,23,451847.6430976431,116.7047138047138
Lottario,2013,24,472160.9427609428,101.72117845117845
Lottario,2013,25,490101.85185185185,103.33686868686868
Lottario,2013,26,497916.6666666667,115.07944444444445
Lottario,2013,27,498098.76543209876,118.84009539842873
Lottario,2013,28,511636.02693602693,114.36372053872054
Lottario,2013,29,530787.8787878788,107.30291806958473
Lottario,2013,30,532996.9696969697,124.12242424242424
Lottario,2013,31,679129.6296296297,132.22671957671957
Lottario,2014,1,396169.8653198653,91.15176767676768
Lottario,2014,2,413686.8686868687,83.49991582491583
Lottario,2014,3,416881.4814814815,98.44574074074075
Lottario,2014,4,417277.7777777778,102.38926767676767
Lottario,2014,5,412654.0404040404,105.28762626262626
Lottario,2014,6,412816.9191919192,95.6053872053872
Lottario,2014,7,341374.15824915824,96.46877104377104
Lottario,2014,8,345657.4074074074,99.05185185185185
Lottario,2014,9,363333.3333333333,80.15833333333333
Lottario,2014,10,370296.2962962963,94.50648148148149
Lottario,2014,11,370000,96.73089225589226
Lottario,2014,12,376814.81481481483,99.60351851851851
Lottario,2014,13,377371.15600448934,89.54006734006734
Lottario,2014,14,386746.9696969697,102.79560606060606
Lottario,2014,15,393665.3198653198,101.50848484848485
Lottario,2014,16,413222.22222222225,82.93703703703703
Lottario,2014,17,419579.4051627385,96.47443883277217
Lottario,2014,18,419679.29292929295,96.19419191919192
Lottario,2014,19,427268.3501683502,103.32457912457913
Lottario,2014,20,427037.71043771046,94.2812457912458
Lottario,2014,21,375342.3120089787,101.33249158249158
Lottario,2014,22,364535.6902356903,104.14367003367003
Lottario,2014,23,347347.4074074074,83.62018518518518
