game,year,month_str,week,total_jp_size,total_jp_sales
Lotto 649,2013,July,Friday,9250000,831.6277777777777
Lotto 649,2013,July,Saturday,9250000,1467.7722222222221
Lotto 649,2013,July,Sunday,5000000,228.15555555555557
Lotto 649,2013,August,Monday,4756481.481481481,333.9138888888889
Lotto 649,2013,August,Tuesday,4750000,533.0194444444444
Lotto 649,2013,August,Wednesday,4750000,1428.6833333333334
Lotto 649,2013,August,Thursday,7000000,499.46222222222224
Lotto 649,2013,August,Friday,7000000,785.0422222222222
Lotto 649,2013,August,Saturday,7000000,1383.3
Lotto 649,2013,August,Sunday,4750000,223.48055555555555
Lotto 649,2013,September,Monday,10400000,409.5888888888889
Lotto 649,2013,September,Tuesday,7750000,585.8972222222222
